title,average_rating,language_code,  num_pages,ratings_count,text_reviews_count,publisher,Bookauthor_no,Bookauthor_Main,Bookauthor_Co1,Bookauthor_Co2,Age_years,title_nwords
Total Cold War: Eisenhower's Secret Propaganda Battle at Home and Abroad,3.85,eng,506,18,1,University Press of Kansas,1,Kenneth Osgood,0,0,14,11
Blood on the Moon: The Assassination of Abraham Lincoln,4.13,eng,360,497,58,University Press of Kentucky,1,Edward Steers Jr.,0,0,15,9
The Cave,3.73,eng,424,95,16,University Press of Kentucky,3,Robert Penn Warren,James H. Justus,Xavier Pàmies,14,2
Conversations with Bernard Malamud (Literary Conversations),4.0,eng,184,4,0,University Press of Mississippi,1,Lawrence M. Lasher,0,0,29,6
Conversations with John Updike,3.57,eng,302,14,2,University Press of Mississippi,1,James Plath,0,0,9,4
Eudora Welty: Photographs,4.43,eng,226,305,15,University Press of Mississippi,2,Eudora Welty,Reynolds Price,0,27,3
Michael Powell: Interviews,3.95,eng,186,20,1,University Press of Mississippi,1,David Lazar,0,0,17,3
Conversations with Jerzy Kosinski,3.69,eng,242,26,3,University Press of Mississippi,2,Jerzy Kosiński,Tom Teicholz,0,27,4
Daisy Bates: Civil Rights Crusader from Arkansas,3.55,eng,340,11,3,University Press of Mississippi,1,Grif Stockley,0,0,15,7
Faulkner: A Biography,4.13,eng,778,82,10,University Press of Mississippi,1,Joseph Blotner,0,0,15,3
The Coen Brothers: Interviews,3.82,eng,208,73,3,University Press of Mississippi,1,William Rodney Allen,0,0,14,4
Conversations with Ernest Hemingway (Literary Conversations),4.15,eng,204,64,6,University Press of Mississippi,2,Ernest Hemingway,Matthew J. Bruccoli,0,34,6
Tim Burton: Interviews,4.26,eng,192,103,7,University Press of Mississippi,1,Kristian Fraga,0,0,10,3
Interviews with John Kenneth Galbraith (Conversations with Public Intellectuals),4.5,eng,247,2,0,University Press of Mississippi,4,John Kenneth Galbraith,James Ronald Stanfield,J. Ron Stanfield,16,9
Oliver Wendell Holmes in Paris: Medicine  Theology  and the Autocrat of the Breakfast Table,5.0,eng,179,1,1,University Press of New England,1,William C. Dowling,0,0,13,16
The Silmarillion,3.92,eng,441,368,44,Unwin Paperbacks,2,J.R.R. Tolkien,Christopher Tolkien,0,41,2
Life Amongst the Modocs,4.32,eng,456,19,6,Urion Press,3,Joaquin Miller,Alan Rosenus,Malcolm Margolin,23,4
Design Like You Give a Damn: Architectural Responses to Humanitarian Crises,4.12,eng,336,792,27,US Green Building Council,2,Architecture For Humanity,Cameron Sinclair,0,14,11
Bull Halsey,4.16,eng,440,56,6,US Naval Institute Press,1,E.B. Potter,0,0,17,2
Gulliver's Travels,3.35,eng,64,13,3,Usborne Books,2,Gill Harvey,Jonathan Swift,0,12,2
Teaching English Abroad,3.57,eng,576,38,6,Vacation Work Publications,1,Susan  Griffith,0,0,13,3
Marijuana Horticulture: The Indoor/Outdoor Medical Grower's Bible,4.39,eng,512,431,25,Van Patten Publishing,1,Jorge Cervantes,0,0,14,7
Cervantes in Algiers: A Captive's Tale,3.14,eng,368,7,1,Vanderbilt University Press,1,Maria Antonia Garcés,0,0,15,6
Scavenger (Frank Balenger  #2),3.6,eng,368,1760,190,Vanguard Press,1,David Morrell,0,0,13,5
And to Think That I Saw It on Mulberry Street,4.0,eng,64,19663,482,Vanguard Press,1,Dr. Seuss,0,0,17,10
Bulgakov's the Master and Margarita: The Text as a Cipher,5.0,eng,202,4,0,Vantage Press,1,Elena N. Mahlow,0,0,45,10
Zinn & the Art of Road Bike Maintenance,4.29,eng,356,282,24,VeloPress,2,Lennard Zinn,Todd Telander,0,15,8
Tuscan Countess: The Life and Extraordinary Times of Matilda of Canossa,3.68,eng,312,51,10,Vendome Press,1,Michele K. Spike,0,0,16,11
A Void,3.8,eng,284,1736,155,Verba Mundi,2,Georges Perec,Gilbert Adair,0,15,2
Transcending the Levels of Consciousness: The Stairway to Enlightenment,4.51,eng,407,461,29,Veritas Publishing,1,David R. Hawkins,0,0,14,9
The Eye of the I: From Which Nothing is Hidden,4.38,eng,432,752,37,Veritas Publishing,1,David R. Hawkins,0,0,19,10
Who Moved My Cheese?,3.8,eng,96,311436,8421,Vermilion,2,Spencer Johnson,Kenneth H. Blanchard,0,18,4
How to Win Friends and Influence People,4.19,eng,268,1842,104,Vermilion,1,Dale Carnegie,0,0,14,7
How to Stop Worrying and Start Living,4.12,eng,293,240,16,Vermilion,1,Dale Carnegie,0,0,30,7
How to Develop Self-Confidence and Influence People,4.14,eng,256,68,1,Vermilion,1,Dale Carnegie,0,0,30,7
Planet of Slums,3.92,eng,228,1727,173,Verso,1,Mike  Davis,0,0,14,3
Late Victorian Holocausts: El Niño Famines and the Making of the Third World,4.11,eng,474,1021,101,Verso,1,Mike  Davis,0,0,18,13
The System of Objects,4.01,eng,224,1002,27,Verso,2,Jean Baudrillard,James Benedict,0,14,4
Fragments,3.8,eng,148,127,11,Verso,2,Jean Baudrillard,Emily Agar,0,13,1
The Communist Manifesto,3.55,eng,88,309,38,Verso,3,Karl Marx,Friedrich Engels,Eric Hobsbawm,22,3
Hegemony and Socialist Strategy: Towards a Radical Democratic Politics,3.89,eng,200,1063,35,Verso,2,Ernesto Laclau,Chantal Mouffe,0,19,9
On Populist Reason,4.04,eng,276,208,11,Verso,1,Ernesto Laclau,0,0,15,3
Contingency  Hegemony  Universality: Contemporary Dialogues on the Left,3.92,eng,329,707,18,Verso,3,Judith Butler,Ernesto Laclau,Slavoj Žižek,20,10
No One Left to Lie to: The Values of the Worst Family,3.86,eng,150,1433,157,Verso,1,Christopher Hitchens,0,0,20,12
The Missionary Position: Mother Teresa in Theory and Practice,4.06,eng,98,7240,571,Verso,1,Christopher Hitchens,0,0,23,9
Unacknowledged Legislation: Writers in the Public Sphere,4.01,eng,430,211,16,Verso,1,Christopher Hitchens,0,0,18,7
The Trial of Henry Kissinger,3.96,eng,161,2614,187,Verso,1,Christopher Hitchens,0,0,18,5
Blaming the Victims: Spurious Scholarship and the Palestinian Question,4.22,eng,296,166,7,Verso,2,Edward W. Said,Christopher Hitchens,0,19,9
User,3.37,eng,255,81,8,Versus Press,1,Blake Nelson,0,0,17,1
Birthday (Ring  #4),3.67,eng,216,866,37,Vertical,2,Kōji Suzuki,Glynne Walley,0,14,4
Dark Water,3.61,eng,279,2433,146,Vertical,2,Kōji Suzuki,Glynne Walley,0,14,2
Ring (Ring  #1),3.82,eng,282,11396,742,Vertical,3,Kōji Suzuki,Robert B. Rohmer,Glynne Walley,16,4
V for Vendetta,4.25,eng,296,234954,4058,Vertigo,2,Alan Moore,David   Lloyd,0,15,3
Neil Gaiman's Neverwhere,4.24,eng,224,33858,569,Vertigo,3,Mike Carey,Glenn Fabry,Neil Gaiman,13,3
The Books of Magic,4.08,eng,200,13850,481,Vertigo,6,Neil Gaiman,John Bolton,Scott Hampton,27,4
Fables: 1001 Nights of Snowfall,4.14,eng,140,13759,538,Vertigo,12,Bill Willingham,Esao Andrews,John Bolton,14,5
Fables  Vol. 8: Wolves,4.27,eng,160,18799,568,Vertigo,5,Bill Willingham,Mark Buckingham,Steve Leialoha,14,5
Fables  Vol. 4: March of the Wooden Soldiers,4.29,eng,231,26055,785,Vertigo,5,Bill Willingham,Mark Buckingham,Craig Hamilton,16,9
Fables  Vol. 1: Legends in Exile,3.97,eng,128,119292,2866,Vertigo,16,Bill Willingham,Terry Moore,Mike Allred,18,7
Fables  Vol. 7: Arabian Nights (and Days),4.09,eng,143,15575,547,Vertigo,6,Bill Willingham,Mark Buckingham,Steve Leialoha,14,8
Fables  Vol. 6: Homelands,4.28,eng,190,21472,637,Vertigo,5,Bill Willingham,David Hahn,Mark Buckingham,14,5
Fables  Vol. 3: Storybook Love,4.13,eng,190,32814,906,Vertigo,7,Bill Willingham,Bryan Talbot,Lan Medina,16,6
Fables  Vol. 5: The Mean Seasons,4.19,eng,166,20703,611,Vertigo,5,Bill Willingham,Mark Buckingham,Steve Leialoha,15,7
Jack of Fables  Vol. 1: The (Nearly) Great Escape,3.58,eng,128,4372,271,Vertigo,4,Bill Willingham,Matthew Sturges,Tony Akins,13,10
Death: The Time of Your Life (Death of the Endless  #2),4.22,eng,95,12377,198,Vertigo,5,Neil Gaiman,Chris Bachalo,Mark Buckingham,23,12
Kid Eternity,3.41,eng,144,693,44,Vertigo,2,Grant Morrison,Duncan Fegredo,0,14,2
Doom Patrol  Vol. 1: Crawling from the Wreckage (Doom Patrol  #1),4.08,eng,192,5447,235,Vertigo,6,Grant Morrison,Richard Case,Doug Braithwaite,20,13
Doom Patrol  Vol. 5: Magic Bus,4.27,eng,203,1363,52,Vertigo,7,Grant Morrison,Richard Case,Ken Steacy,13,7
Doom Patrol  Vol. 4: Musclebound,4.15,eng,256,2322,77,Vertigo,7,Grant Morrison,Richard Case,Mike Dringenberg,14,6
Transmetropolitan  Vol. 2: Lust for Life,4.34,eng,208,15496,281,Vertigo,2,Warren Ellis,Darick Robertson,0,21,7
Transmetropolitan  Vol. 3: Year of the Bastard,4.41,eng,144,13360,193,Vertigo,3,Warren Ellis,Darick Robertson,Rodney Ramos,21,8
Transmetropolitan  Vol. 5: Lonely City,4.41,eng,144,11372,146,Vertigo,4,Warren Ellis,Darick Robertson,Rodney Ramos,19,6
Transmetropolitan  Vol. 4: The New Scum,4.39,eng,133,13331,146,Vertigo,4,Warren Ellis,Darick Robertson,Rodney Ramos,20,7
Transmetropolitan  Vol. 8: Dirge,4.47,eng,140,9963,90,Vertigo,3,Warren Ellis,Darick Robertson,Rodney Ramos,17,5
Transmetropolitan  Vol. 10: One More Time,4.51,eng,144,10308,184,Vertigo,3,Warren Ellis,Darick Robertson,Rodney Ramos,16,7
Transmetropolitan  Vol. 9: The Cure,4.44,eng,144,10331,90,Vertigo,3,Warren Ellis,Darick Robertson,Rodney Ramos,17,6
Transmetropolitan  Vol. 7: Spider's Thrash,4.32,eng,144,12633,88,Vertigo,4,Warren Ellis,Darick Robertson,Rodney Ramos,18,6
The Absolute Sandman  Volume One,4.65,eng,612,15640,512,Vertigo,15,Neil Gaiman,Mike Dringenberg,Chris Bachalo,14,6
Preludes & Nocturnes (The Sandman  #1),4.24,eng,233,171841,3781,Vertigo,6,Neil Gaiman,Sam Kieth,Mike Dringenberg,22,7
The Doll's House (The Sandman  #2),4.44,eng,232,63599,1518,Vertigo,8,Neil Gaiman,Steve Parkhouse,Chris Bachalo,21,7
Season of Mists (The Sandman  #4),4.54,eng,217,50951,1038,Vertigo,10,Neil Gaiman,Matt Wagner,George Pratt,21,7
A Game of You (The Sandman  #5),4.43,eng,192,43065,876,Vertigo,8,Neil Gaiman,Shawn McManus,Colleen Doran,21,8
World's End (The Sandman  #8),4.47,eng,160,36629,675,Vertigo,15,Neil Gaiman,Mike Allred,Gary Amaro,21,6
The Wake (The Sandman  #10),4.52,eng,191,37038,767,Vertigo,5,Neil Gaiman,Michael Zulli,Jon J. Muth,21,6
Michael Moorcock's Multiverse,3.94,eng,288,170,10,Vertigo,4,Michael Moorcock,Walter Simonson,Mark Reeve,21,3
Loveless  Vol. 1: A Kin of Homecoming,3.32,eng,128,516,52,Vertigo,2,Brian Azzarello,Marcelo Frusín,0,14,8
God Emperor of Dune (Dune Chronicles #4),3.84,eng,454,51343,896,Victor Gollancz,1,Frank Herbert,0,0,17,7
The Complete Pelican Shakespeare,4.5,eng,1808,578,25,Viking,3,William Shakespeare,Stephen Orgel,A.R. Braunmuller,18,4
Charles Dickens,3.82,eng,224,552,81,Viking,1,Jane Smiley,0,0,18,2
Matthew Flinders' Cat,3.8,eng,611,2737,161,Viking,1,Bryce Courtenay,0,0,18,3
The Complete Polysyllabic Spree,3.59,eng,278,450,63,Viking,1,Nick Hornby,0,0,14,4
Mayflower: A Story of Courage  Community  and War,3.87,eng,461,31384,2255,Viking,1,Nathaniel Philbrick,0,0,14,10
The Aeneid,3.84,eng,486,892,117,Viking,3,Virgil,Robert Fagles,Bernard Knox,14,2
The Gunslinger,3.96,eng,231,2309,230,Viking,1,Stephen King,0,0,17,2
Hell No  We Won't Go! Resisting the Draft During the Vietnam War,4.5,eng,274,8,1,Viking,1,Sherry Gershon Gottlieb,0,0,29,13
London is the Best City in America,3.45,eng,256,2168,233,Viking Adult,1,Laura Dave,0,0,14,7
War and Peace,4.11,eng,1412,1228,93,Viking Adult,3,Leo Tolstoy,Anthony Briggs,Orlando Figes,14,3
First Among Sequels (Thursday Next  #5),4.02,eng,363,20630,1310,Viking Adult,1,Jasper Fforde,0,0,13,7
Swapping Lives,3.58,eng,410,24513,916,Viking Adult,1,Jane Green,0,0,14,2
Desperation / The Regulators: Box Set,4.07,eng,1075,3231,72,Viking Adult,2,Stephen King,Richard Bachman,0,24,6
The Waste Lands (The Dark Tower  #3),4.24,eng,422,145740,3382,Viking Adult,2,Stephen King,Ned Dameron,0,17,8
Breaking the Spell: Religion as a Natural Phenomenon,3.89,eng,448,10135,330,Viking Books,1,Daniel C. Dennett,0,0,14,8
Berlin: The Downfall  1945,4.29,eng,489,244,17,Viking Books,1,Antony Beevor,0,0,18,5
The Regeneration Trilogy (Regeneration  #1-3),4.38,eng,592,1588,95,Viking Books,1,Pat Barker,0,0,24,6
The Dark Half,3.77,eng,431,103,16,Viking Books,1,Stephen King,0,0,31,3
If the River Was Whiskey: Stories,3.94,eng,224,34,3,Viking Books,1,T. Coraghessan Boyle,0,0,31,6
Dust (Richard Jury  #21),3.64,eng,342,2612,286,Viking Books,1,Martha Grimes,0,0,13,5
Self-Made Man: One Woman's Journey Into Manhood and Back Again,3.33,eng,290,4104,656,Viking Books,1,Norah Vincent,0,0,14,10
The Further Inquiry,3.63,eng,215,226,3,Viking Books,2,Ken Kesey,Ron Bevirt,0,30,3
Death of a Salesman,3.51,eng,139,1223,104,Viking Books,1,Arthur  Miller,0,0,71,4
Make Way for McCloskey,4.46,eng,144,129,8,Viking Books for Young Readers,2,Robert McCloskey,Leonard S. Marcus,0,16,4
Haroun and the Sea of Stories (Khalifa Brothers  #1),4.01,eng,224,22378,1613,Viking Children's Books,2,Salman Rushdie,Paul Birkbeck,0,21,10
Changeling (Changeling  #1),3.6,eng,256,978,111,Viking Juvenile,1,Delia Sherman,0,0,14,4
Roald Dahl Treasury,4.43,eng,448,2143,65,Viking Juvenile,1,Roald Dahl,0,0,17,3
Spy Catcher: The Candid Autobiography of a Senior Intelligence Officer,3.73,eng,392,159,22,Viking Penguin Inc.,2,Peter Maurice Wright,Paul Greengrass,0,33,10
Maia (Beklan Empire #2),4.01,eng,1056,1719,133,Viking Press,1,Richard  Adams,0,0,36,4
Mirror in the Mirror,4.14,eng,224,74,5,Viking UK,2,Michael Ende,J. Maxwell Brownjohn,0,34,4
The Talisman,4.13,eng,646,1259,131,Viking; G. P. Putnam & Sons,2,Stephen King,Peter Straub,0,36,2
Iceland: Land of the Sagas,3.71,eng,160,330,40,Villard,2,David  Roberts,Jon Krakauer,0,22,5
We Thought You Would Be Prettier: True Tales of the Dorkiest Girl Alive,3.92,eng,223,10040,439,Villard,1,Laurie Notaro,0,0,15,13
There's a (Slight) Chance I Might Be Going to Hell: A Novel of Sewer Pipes  Pageant Queens  and Big Trouble,3.55,eng,320,36,8,Villard,1,Laurie Notaro,0,0,13,22
Pipe Dream (Strivers Row),3.97,eng,341,139,17,Villard,1,Solomon Jones,0,0,19,4
Hype and Glory,3.67,eng,306,129,14,Villard,2,William Goldman,P. Gethers,0,29,3
The Gospel of the Flying Spaghetti Monster,3.93,eng,169,3248,341,Villard,1,Bobby Henderson,0,0,14,7
Lost Stories,3.98,eng,342,201,37,Vince Emery Productions,3,Dashiell Hammett,Vince Emery,Joe Gores,15,2
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,3.84,eng,249,2766,64,Vintage,1,Wendy Wasserstein,0,0,29,11
The Untouchable,3.95,eng,367,2163,216,Vintage,1,John Banville,0,0,22,2
The Burnt Orange Heresy (Vintage Crime/Black Lizard),3.89,eng,144,98,11,Vintage,1,Charles Willeford,0,0,30,7
The Names,3.64,eng,339,3100,212,Vintage,1,Don DeLillo,0,0,31,2
Where I Was From,3.86,eng,240,2842,292,Vintage,1,Joan Didion,0,0,16,4
Living to Tell the Tale,3.99,eng,533,397,47,Vintage,2,Gabriel García Márquez,Edith Grossman,0,16,5
Memoirs of a Geisha,4.11,eng,497,4189,462,Vintage,1,Arthur Golden,0,0,22,4
The Power Broker: Robert Moses and the Fall of New York,4.51,eng,1344,11208,1237,Vintage,1,Robert A. Caro,0,0,45,11
The Curious Incident of the Dog in the Night-Time,3.88,eng,226,1054308,35537,Vintage,1,Mark Haddon,0,0,16,9
Flaubert's Parrot,3.66,eng,190,9373,606,Vintage,1,Julian Barnes,0,0,30,2
The Complete Stories of Truman Capote,4.2,eng,320,3993,217,Vintage,2,Truman Capote,Reynolds Price,0,15,6
Other Voices  Other Rooms,3.8,eng,232,10635,656,Vintage,1,Truman Capote,0,0,26,5
Aké: The Years of Childhood,3.93,eng,230,1284,90,Vintage,1,Wole Soyinka,0,0,31,5
Cities of Salt (مدن الملح #1),4.13,eng,627,856,105,Vintage,2,Abdul Rahman Munif,Peter Theroux,0,31,6
Corelli's Mandolin,3.98,eng,437,62954,1791,Vintage,1,Louis de Bernières,0,0,25,2
The Curious Incident of the Dog in the Night-Time,3.88,eng,272,16588,1606,Vintage,1,Mark Haddon,0,0,16,9
The Sea,3.51,eng,195,19308,1803,Vintage,1,John Banville,0,0,14,2
The Book of Evidence (The Freddie Montgomery Trilogy #1),3.71,eng,220,3202,278,Vintage,1,John Banville,0,0,19,9
Athena (The Freddie Montgomery Trilogy #3),3.66,eng,240,387,29,Vintage,1,John Banville,0,0,24,6
Doctor Copernicus  (The Revolutions Trilogy #1),3.65,eng,242,583,60,Vintage,1,John Banville,0,0,27,7
Shroud (The Cleave Trilogy #2),3.66,eng,257,974,81,Vintage,1,John Banville,0,0,16,5
The Autograph Man,3.16,eng,347,9541,576,Vintage,1,Zadie Smith,0,0,17,3
White Teeth,3.77,eng,448,102370,5677,Vintage,1,Zadie Smith,0,0,19,2
The Lighthouse (Adam Dalgliesh #13),3.81,eng,383,10651,711,Vintage,1,P.D. James,0,0,14,5
A Taste for Death (Adam Dalgliesh  #7),4.02,eng,459,10304,374,Vintage,1,P.D. James,0,0,15,8
Lunar Park,3.7,eng,404,24618,738,Vintage,1,Bret Easton Ellis,0,0,14,2
The Cold Six Thousand (Underworld USA #2),4.01,eng,688,5642,265,Vintage,1,James Ellroy,0,0,18,7
Dispatches,4.23,eng,260,13108,795,Vintage,1,Michael Herr,0,0,29,1
Maximum City: Bombay Lost and Found,3.93,eng,542,9024,637,Vintage,1,Suketu Mehta,0,0,15,6
Catch-22,3.98,eng,519,5517,452,Vintage,1,Joseph Heller,0,0,26,1
A Moveable Feast,4.04,eng,192,82993,4808,Vintage,1,Ernest Hemingway,0,0,8,3
Berlin Blues,3.87,eng,247,186,24,Vintage,2,Sven Regener,John Brownjohn,0,16,2
The Talking Horse and the Sad Girl and the Village Under the Sea: Poems,3.31,eng,60,418,37,Vintage,1,Mark Haddon,0,0,14,14
Fury,3.29,eng,272,6711,354,Vintage,1,Salman Rushdie,0,0,18,1
A Heartbreaking Work of Staggering Genius,3.68,eng,485,157572,8463,Vintage,1,Dave Eggers,0,0,19,6
You Shall Know Our Velocity!,3.63,eng,401,25811,1463,Vintage,1,Dave Eggers,0,0,17,5
How We Are Hungry,3.75,eng,224,12007,659,Vintage,1,Dave Eggers,0,0,15,4
A Virtuous Woman,3.69,eng,165,23170,587,Vintage,1,Kaye Gibbons,0,0,23,3
Breath  Eyes  Memory,3.88,eng,234,25200,1229,Vintage,1,Edwidge Danticat,0,0,22,5
A Lesson Before Dying,3.95,eng,256,47143,2998,Vintage,1,Ernest J. Gaines,0,0,23,4
A Fine Balance,4.36,eng,603,112196,7546,Vintage,1,Rohinton Mistry,0,0,19,3
Oscar Wilde,4.24,eng,736,2695,119,Vintage,1,Richard Ellmann,0,0,32,2
The Adolescent,3.94,eng,647,3568,159,Vintage,3,Fyodor Dostoyevsky,Richard Pevear,Larissa Volokhonsky,16,2
Magic Seeds,3.13,eng,280,715,104,Vintage,1,V.S. Naipaul,0,0,15,2
Anil's Ghost,3.57,eng,311,13022,1013,Vintage,1,Michael Ondaatje,0,0,19,2
A Short History of Byzantium,4.09,eng,496,1772,142,Vintage,1,John Julius Norwich,0,0,22,5
A History of Venice,4.2,eng,673,1422,93,Vintage,1,John Julius Norwich,0,0,31,4
Beloved,3.83,eng,324,282045,9004,Vintage,1,Toni Morrison,0,0,16,1
The Axe (The Master of Hestviken  #1),4.21,eng,304,496,51,Vintage,2,Sigrid Undset,Arthur G. Chater,0,26,8
The Snake Pit (The Master of Hestviken  #2),4.23,eng,240,349,18,Vintage,2,Sigrid Undset,Arthur G. Chater,0,26,9
An Imaginary Life,3.88,eng,156,1552,144,Vintage,1,David Malouf,0,0,21,3
The Great World,3.88,eng,336,539,33,Vintage,1,David Malouf,0,0,21,3
A Very Long Engagement,3.91,eng,320,79,16,Vintage,1,Sébastien Japrisot,0,0,15,4
His Excellency: George Washington,3.92,eng,320,32978,1112,Vintage,1,Joseph J. Ellis,0,0,15,4
Ghostwritten,4.05,eng,426,20880,1728,Vintage,1,David Mitchell,0,0,19,1
Enduring Love,3.63,eng,245,30776,1515,Vintage,1,Ian McEwan,0,0,16,2
The Radicalism of the American Revolution,4.06,eng,447,4246,195,Vintage,1,Gordon S. Wood,0,0,27,6
The Girl at the Lion d'Or,3.58,eng,246,4630,272,Vintage,1,Sebastian Faulks,0,0,21,6
Human Traces,3.63,eng,793,3541,274,Vintage,1,Sebastian Faulks,0,0,14,2
The Year of Magical Thinking,3.89,eng,227,120758,8711,Vintage,1,Joan Didion,0,0,13,5
After Henry,3.83,eng,320,1205,100,Vintage,1,Joan Didion,0,0,27,2
The Stories of Vladimir Nabokov,4.3,eng,685,5889,183,Vintage,1,Vladimir Nabokov,0,0,24,5
The Luzhin Defense,3.95,eng,256,7305,277,Vintage,2,Vladimir Nabokov,Michael Scammell,0,30,3
Lincoln,4.21,eng,672,7326,430,Vintage,1,Gore Vidal,0,0,20,1
Burr,4.07,eng,430,7265,526,Vintage,1,Gore Vidal,0,0,20,1
The Historian's Craft: Reflections on the Nature and Uses of History and the Techniques and Methods of Those Who Write It.,4.05,eng,224,977,71,Vintage,3,Marc Bloch,Peter Putnam,Joseph Reese Strayer,56,21
Sputnik Sweetheart,3.83,eng,229,78434,3464,Vintage,2,Haruki Murakami,Philip Gabriel,0,18,2
The Moor's Last Sigh,3.93,eng,434,10414,445,Vintage,1,Salman Rushdie,0,0,24,4
Angels,3.72,eng,209,4263,227,Vintage,1,Denis Johnson,0,0,17,1
Glamorama,3.46,eng,546,18181,669,Vintage,1,Bret Easton Ellis,0,0,20,1
The Grass Harp  Including A Tree of Night and Other Stories,4.01,eng,272,4533,188,Vintage,1,Truman Capote,0,0,27,12
The Cement Garden,3.54,eng,144,18376,1022,Vintage,1,Ian McEwan,0,0,16,3
Atonement,3.9,eng,372,4844,506,Vintage,1,Ian McEwan,0,0,18,1
The Ruined Map,3.55,eng,304,1398,105,Vintage,2,Kōbō Abe,E. Dale Saunders,0,19,3
The Face of Another,3.78,eng,238,2584,153,Vintage,2,Kōbō Abe,E. Dale Saunders,0,17,4
Secret Rendezvous,3.61,eng,192,989,82,Vintage,2,Kōbō Abe,Juliet Winters Carpenter,0,18,2
The Philosophy of Jean-Paul Sartre,3.89,eng,512,190,8,Vintage,1,Jean-Paul Sartre,0,0,17,5
The Road to Reality: A Complete Guide to the Laws of the Universe,4.11,eng,1099,6164,142,Vintage,1,Roger Penrose,0,0,13,13
The Ends of the Earth: A Journey to the Frontiers of Anarchy,4.12,eng,496,1278,74,Vintage,1,Robert D. Kaplan,0,0,23,12
Light in August,3.94,eng,507,47794,1920,Vintage,1,William Faulkner,0,0,29,3
The Working Poor: Invisible in America,4.03,eng,352,4929,369,Vintage,1,David K. Shipler,0,0,15,6
Haruki Murakami and the Music of Words,3.83,eng,462,1444,68,Vintage,1,Jay Rubin,0,0,15,7
A Wild Sheep Chase (The Rat  #3),3.95,eng,353,68918,3022,Vintage,2,Haruki Murakami,Alfred Birnbaum,0,18,8
Love,3.75,eng,224,7580,452,Vintage,1,Toni Morrison,0,0,15,1
Song of Solomon,4.06,eng,337,73894,2763,Vintage,1,Toni Morrison,0,0,16,3
Jazz,3.81,eng,229,1338,128,Vintage,1,Toni Morrison,0,0,16,1
Tar Ba,3.93,eng,320,15795,447,Vintage,1,Toni Morrison,0,0,16,2
All of Us: The Collected Poems,4.3,eng,416,1651,107,Vintage,1,Raymond Carver,0,0,20,6
Short Cuts: Selected Stories,4.11,eng,157,4455,232,Vintage,2,Raymond Carver,Robert Altman,0,27,4
In Pharaoh's Army: Memories of the Lost War,4.08,eng,240,2398,175,Vintage,2,Tobias Wolff,Luann Walther,0,25,8
The Vintage Book of Contemporary American Short Stories,4.11,eng,576,1227,79,Vintage,1,Tobias Wolff,0,0,26,8
The Living and the Dead: Robert McNamara and Five Lives of a Lost War,4.01,eng,448,135,11,Vintage,1,Paul Hendrickson,0,0,23,14
Sons of Mississippi: A Story of Race and Its Legacy,3.81,eng,368,170,31,Vintage,1,Paul Hendrickson,0,0,16,10
The Colossus and Other Poems,4.19,eng,84,9140,224,Vintage,1,Sylvia Plath,0,0,22,5
American Pastoral (The American Trilogy  #1),3.92,eng,432,47156,3007,Vintage,1,Philip Roth,0,0,22,7
I Married a Communist (The American Trilogy  #2),3.81,eng,323,4996,325,Vintage,1,Philip Roth,0,0,21,9
Sabbath's Theater,3.85,eng,451,6993,482,Vintage,1,Philip Roth,0,0,24,2
The Counterlife,3.91,eng,336,3192,195,Vintage,1,Philip Roth,0,0,24,2
The Black Book,3.91,eng,466,6352,425,Vintage,3,Orhan Pamuk,Maureen Freely,عین له غریب,14,3
The Human Stain (The American Trilogy  #3),3.88,eng,384,25422,1410,Vintage,1,Philip Roth,0,0,19,8
Sabbath's Theater,3.85,eng,451,128,9,Vintage,1,Philip Roth,0,0,24,2
The Rebel,4.15,eng,320,9227,256,Vintage,3,Albert Camus,Anthony Bower,Herbert Read,28,2
The Fall,4.04,eng,147,53697,1772,Vintage,2,Albert Camus,Justin O'Brien,0,29,2
Buried Child,3.91,eng,120,6746,178,Vintage,1,Sam Shepard,0,0,14,2
Ada  or Ardor: A Family Chronicle,4.15,eng,604,7927,543,Vintage,2,Vladimir Nabokov,Fatih Özgüven,0,30,7
Strong Opinions,4.0,eng,368,767,59,Vintage,1,Vladimir Nabokov,0,0,30,2
Three Plays: Desire Under the Elms / Strange Interlude / Mourning Becomes Electra,4.08,eng,424,1596,36,Vintage,2,Eugene O'Neill,Luann Walther,0,25,13
The Risk Pool,4.04,eng,479,5013,332,Vintage,1,Richard Russo,0,0,22,3
The People's Tycoon: Henry Ford and the American Century,4.02,eng,656,309,39,Vintage,1,Steven Watts,0,0,14,9
The Sunset Limited,3.96,eng,160,6494,562,Vintage,1,Cormac McCarthy,0,0,14,3
No Country for Old Men,4.14,eng,309,120421,6140,Vintage,1,Cormac McCarthy,0,0,14,5
True and False: Heresy and Common Sense for the Actor,3.95,eng,144,1876,147,Vintage,1,David Mamet,0,0,21,10
Losing Battles,3.6,eng,436,433,59,Vintage,1,Eudora Welty,0,0,30,2
The Eye of the Story: Selected Essays and Reviews,4.06,eng,368,102,11,Vintage,1,Eudora Welty,0,0,30,9
Operation Shylock: A Confession,3.77,eng,400,3115,188,Vintage,1,Philip Roth,0,0,26,4
The Aeneid,3.84,eng,442,87406,1182,Vintage,2,Virgil,Robert Fitzgerald,0,30,2
Winter's Tales,3.9,eng,320,1464,100,Vintage,2,Isak Dinesen,Karen Blixen,0,27,2
